university,rating,major_cat,credit,status,score,total,ratio
USC,Silver,air_climate,Emissions Inventory and Disclosure, Complete,2.46,3,0.82
USC,Silver,air_climate,Greenhouse Gas Emissions, Complete,3.95,8,0.49375
USC,Silver,buildings,Building Design and Construction, Complete,0.53,3,0.176666667
USC,Silver,buildings,Building Operations and Maintenance, Complete,1.96,5,0.392
USC,Silver,energy,Building Energy Efficiency, Complete,2.84,6,0.473333333
USC,Silver,energy,Clean and Renewable Energy, Complete,0,4,0
USC,Silver,food_dining,Food and Beverage Purchasing, Complete,3.24,6,0.54
USC,Silver,food_dining,Sustainable Dining, Complete,1.88,2,0.94
USC,Silver,grounds,Landscape Management, Complete,1,2,0.5
USC,Silver,grounds,Biodiversity, Complete,2,2.00 ,1
USC,Silver,purchasing,Sustainable Procurement, Complete,0.5,3,0.166666667
USC,Silver,purchasing,Electronics Purchasing, Complete,0.55,1,0.55
USC,Silver,purchasing,Cleaning and Janitorial Purchasing, Complete,0.49,1,0.49
USC,Silver,purchasing,Office Paper Purchasing, Complete,0.62,1,0.62
USC,Silver,transportation,Campus Fleet, Complete,0.23,1,0.23
USC,Silver,transportation,Commute Modal Split, Complete,3.75,5,0.75
USC,Silver,transportation,Support for Sustainable Transportation, Complete,1,1,1
USC,Silver,waste,Waste Minimization and Diversion, Complete,0.88,8,0.11
USC,Silver,waste,Construction and Demolition Waste Diversion, Complete,0.61,1,0.61
USC,Silver,waste,Hazardous Waste Management, Complete,1,1,1
USC,Silver,water,Water Use, Complete,1.76,6.00 ,0.293333333
USC,Silver,water,Rainwater Management, Complete,2,2,1
UCLA,Gold,air_climate,Emissions Inventory and Disclosure, Complete,2.21,3,0.736666667
UCLA,Gold,air_climate,Greenhouse Gas Emissions, Complete,5.02,8,0.6275
UCLA,Gold,buildings,Building Design and Construction, Complete,2.68,3,0.893333333
UCLA,Gold,buildings,Building Operations and Maintenance, Complete,2.15,5,0.43
UCLA,Gold,energy,Building Energy Efficiency, Complete,0.78,6,0.13
UCLA,Gold,energy,Clean and Renewable Energy, Complete,0.01,4,0.0025
UCLA,Gold,food_dining,Food and Beverage Purchasing, Complete,1.41,6,0.235
UCLA,Gold,food_dining,Sustainable Dining, Complete,2,2,1
UCLA,Gold,grounds,Landscape Management, Complete,1,2,0.5
UCLA,Gold,grounds,Biodiversity, Complete,1,2.00 ,0.5
UCLA,Gold,purchasing,Sustainable Procurement, Complete,3,3,1
UCLA,Gold,purchasing,Electronics Purchasing, Complete,0.99,1,0.99
UCLA,Gold,purchasing,Cleaning and Janitorial Purchasing, Complete,0.87,1,0.87
UCLA,Gold,purchasing,Office Paper Purchasing, Complete,0.22,1,0.22
UCLA,Gold,transportation,Campus Fleet, Complete,0.39,1,0.39
UCLA,Gold,transportation,Commute Modal Split, Complete,3.36,5,0.672
UCLA,Gold,transportation,Support for Sustainable Transportation, Complete,0.8,1,0.8
UCLA,Gold,waste,Waste Minimization and Diversion, Complete,4.14,8,0.5175
UCLA,Gold,waste,Construction and Demolition Waste Diversion, Complete,0.95,1,0.95
UCLA,Gold,waste,Hazardous Waste Management, Complete,1,1,1
UCLA,Gold,water,Water Use, Complete,3.13,6.00 ,0.521666667
UCLA,Gold,water,Rainwater Management, Complete,2,2,1
Notre Dame,Gold,air_climate,Emissions Inventory and Disclosure, Complete,2.04,3,0.68
Notre Dame,Gold,air_climate,Greenhouse Gas Emissions, Complete,2.88,8,0.36
Notre Dame,Gold,buildings,Building Design and Construction, Complete,2.16,3,0.72
Notre Dame,Gold,buildings,Building Operations and Maintenance, Complete,2,5,0.4
Notre Dame,Gold,energy,Building Energy Efficiency, Complete,3.22,6,0.536666667
Notre Dame,Gold,energy,Clean and Renewable Energy, Complete,0.31,4,0.0775
Notre Dame,Gold,food_dining,Food and Beverage Purchasing, Not Pursuing,0,6,0
Notre Dame,Gold,food_dining,Sustainable Dining, Complete,1.88,2,0.94
Notre Dame,Gold,grounds,Landscape Management, Complete,0.51,2,0.255
Notre Dame,Gold,grounds,Biodiversity, Complete,2,2.00 ,1
Notre Dame,Gold,purchasing,Sustainable Procurement, Complete,2.75,3,0.916666667
Notre Dame,Gold,purchasing,Electronics Purchasing, Not Pursuing,0,1,0
Notre Dame,Gold,purchasing,Cleaning and Janitorial Purchasing, Not Pursuing,0,1,0
Notre Dame,Gold,purchasing,Office Paper Purchasing, Complete,0.48,1,0.48
Notre Dame,Gold,transportation,Campus Fleet, Complete,0.05,1,0.05
Notre Dame,Gold,transportation,Commute Modal Split, Complete,2.08,5,0.416
Notre Dame,Gold,transportation,Support for Sustainable Transportation, Complete,1,1,1
Notre Dame,Gold,waste,Waste Minimization and Diversion, Complete,2.62,8,0.3275
Notre Dame,Gold,waste,Construction and Demolition Waste Diversion, Complete,0.91,1,0.91
Notre Dame,Gold,waste,Hazardous Waste Management, Complete,1,1,1
Notre Dame,Gold,water,Water Use, Complete,3.33,4.00 ,0.8325
Notre Dame,Gold,water,Rainwater Management, Complete,2,2,1
Stanford University,Platinum,air_climate,Greenhouse Gas Emissions, Complete,8.02,10,0.802
Stanford University,Platinum,air_climate,Outdoor Air Quality, Complete,1,1,1
Stanford University,Platinum,buildings,Building Operations and Maintenance, Complete,2.23,5,0.446
Stanford University,Platinum,buildings,Building Design and Construction, Complete,1.5,3,0.5
Stanford University,Platinum,energy,Building Energy Consumption, Complete,5.14,6,0.856666667
Stanford University,Platinum,energy,Clean and Renewable Energy, Complete,2.23,4,0.5575
Stanford University,Platinum,food_dining,Food and Beverage Purchasing, Complete,1.67,6,0.278333333
Stanford University,Platinum,food_dining,Sustainable Dining, Complete,2,2,1
Stanford University,Platinum,grounds,Landscape Management, Complete,1,2,0.5
Stanford University,Platinum,grounds,Biodiversity, Complete,2,2.00 ,1
Stanford University,Platinum,purchasing,Sustainable Procurement, Complete,3,3,1
Stanford University,Platinum,purchasing,Electronics Purchasing, Complete,0.97,1,0.97
Stanford University,Platinum,purchasing,Cleaning and Janitorial Purchasing, Complete,0.51,1,0.51
Stanford University,Platinum,purchasing,Office Paper Purchasing, Complete,0.23,1,0.23
Stanford University,Platinum,transportation,Campus Fleet, Complete,0.44,1,0.44
Stanford University,Platinum,transportation,Student Commute Modal Split, Complete,1.76,2,0.88
Stanford University,Platinum,transportation,Employee Commute Modal Split, Complete,1.01,2,0.505
Stanford University,Platinum,transportation,Support for Sustainable Transportation, Complete,2,2,1
Stanford University,Platinum,waste,Waste Minimization and Diversion, Complete,4.02,8,0.5025
Stanford University,Platinum,waste,Construction and Demolition Waste Diversion, Complete,0.73,1,0.73
Stanford University,Platinum,waste,Hazardous Waste Management, Complete,1,1,1
Stanford University,Platinum,water,Water Use, Complete,6,6.00 ,1
Stanford University,Platinum,water,Rainwater Management, Complete,2,2,1
Cal State LA,Silver,air_climate,Greenhouse Gas Emissions, Complete,6.55,10,0.655
Cal State LA,Silver,air_climate,Outdoor Air Quality, Complete,1,1,1
Cal State LA,Silver,buildings,Building Operations and Maintenance, Complete,0,5,0
Cal State LA,Silver,buildings,Building Design and Construction, Complete,1.53,3,0.51
Cal State LA,Silver,energy,Building Energy Consumption, Complete,2.9,6,0.483333333
Cal State LA,Silver,energy,Clean and Renewable Energy, Complete,0.03,4,0.0075
Cal State LA,Silver,food_dining,Food and Beverage Purchasing, Complete,0,6,0
Cal State LA,Silver,food_dining,Sustainable Dining, Complete,1.63,2,0.815
Cal State LA,Silver,grounds,Landscape Management, Complete,0,2,0
