,Building Name,BLDG Code,2018-01-30 00:00:00,2018-02-28 00:00:00,2018-03-29 00:00:00,2018-04-29 00:00:00,2018-05-29 00:00:00,2018-06-27 00:00:00,2018-07-29 00:00:00,2018-08-27 00:00:00,2018-09-26 00:00:00,2018-10-28 00:00:00,2018-11-27 00:00:00,2018-12-31 00:00:00,2019-01-30 00:00:00,2019-02-28 00:00:00,2019-03-29 00:00:00,2019-04-29 00:00:00,2019-05-29 00:00:00,2019-06-27 00:00:00,2019-07-29 00:00:00,2019-08-27 00:00:00,2019-09-26 00:00:00,2019-10-28 00:00:00,2019-11-27 00:00:00,2019-12-31 00:00:00,2020-01-30 00:00:00,2020-02-28 00:00:00,2020-03-29 00:00:00,2020-04-29 00:00:00,2020-05-29 00:00:00,2020-06-27 00:00:00,2020-07-29 00:00:00,2020-08-27 00:00:00,2020-09-26 00:00:00,2020-10-28 00:00:00,2020-11-27 00:00:00,2020-12-31 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-31 00:00:00,2021-04-29 00:00:00,2021-05-28 00:00:00,2021-06-29 00:00:00,2021-07-29 00:00:00,2021-08-27 00:00:00,2021-09-28 00:00:00,2021-10-28 00:00:00,2021-11-30 00:00:00,2021-12-30 00:00:00
0,Ahmanson Center for Biological Research,ACB,39668.239375,48959.651034482755,32505.007241379313,44916.662068965525,48345.56999999999,70445.0,115746.27000000002,134437.21,81620.5299999999,71322.61000000002,56326.33,31262.05,28874.25,20553.58,32281.690000000002,46413.88413793105,45023.17000000001,57797.64,57797.64,88443.59,107090.94948242189,77295.84741210938,55443.03430175781,28912.816280517578,29053.300000000003,32380.859999999993,24233.72,36387.9,46920.18387096774,59939.316333333336,73411.5,91664.99612903227,95541.85599999999,72089.19677419354,51474.52666666665,29364.987096774203,33846.00774193548,34791.04107142856,32579.133225806454,40908.52133333334,44043.824838709676,66991.71200000001,87388.51935483867,75478.70225806451,75346.944,51742.8870967742,57229.40299999999,25884.36774193547
1,School of Accounting,ACC,9332.9278125,10775.28827586207,11125.72896551724,15751.200000000012,11676.939999999999,9496.009999999998,15751.200000000012,19783.49,25187.390000000003,28771.770000000004,26967.579999999998,21545.240000000005,21123.310000000005,19341.06,22421.120000000003,16276.240000000013,25010.780000000002,22795.17,22795.17,29948.310000000012,40631.5431640625,53636.06945800781,50184.83544921875,47554.85061523437,44222.130000000005,42705.84,37557.96000000001,32874.12,38168.81612903226,38389.18066666667,44769.348387096776,42226.75032258065,56129.85599999999,41931.43548387097,47324.24866666668,35225.9322580645,38024.051612903226,35125.50428571429,31390.834838709678,32059.954333333335,34937.28043094758,32663.992625,31762.288835685475,16895.73677419355,23322.28266666666,30564.96774193548,44709.98400000002,34980.83225806452
2,Bovard Administration Building,ADM,19062.859062500007,13413.38068965517,12808.922068965518,15359.999999999998,21186.430000000004,24662.499999999996,34341.06,39188.89000000001,30183.08,23517.1,20691.210000000006,14589.39,13494.119999999999,10487.8,13110.869999999997,15871.999999999998,13570.95,17591.85,17591.85,29285.16,34464.383576660155,24401.024856567383,15280.106918334961,11688.563666381837,11887.07,15005.16,9972.54,10759.73,15839.874193548387,16811.775333333335,18254.951612903227,21015.67322580645,21654.485333333338,16913.951612903224,13326.016666666665,9923.690322580644,12019.912258064516,11113.680357142857,11267.444838709678,11532.981,12306.065806451612,18471.904000000002,20298.938709677415,21851.74322580645,24803.370666666662,15130.035483870972,15135.493999999999,10593.803225806452
3,Allan Hancock Foundation,AHF,14604.468125000001,21047.619310344824,16368.288620689651,19396.086206896543,19376.01,24056.510000000002,47919.770000000004,61054.340000000004,51964.740000000005,47096.68,41340.4,25306.079999999998,22691.55,16754.559999999998,28282.08,20042.622413793095,25457.699999999997,37024.42,37024.42,45576.32,45906.773959960934,43534.26086425781,34995.479736328125,26909.65066162109,24918.029999999995,33827.130000000005,26915.919999999995,35861.54000000001,23323.04516129032,29937.52666666667,33726.85161290323,45769.77387096775,50855.26399999999,45952.867741935486,65374.066666666666,47801.941935483876,55087.421935483864,59028.52642857145,48431.50612903225,38955.33266666666,36975.79516129032,52932.352,51656.487096774195,53876.546129032264,64720.96,50047.85806451611,59858.238000000005,44794.07419354838
4,Alumni House,ALM,8556.0,7476.0,9176.0,9060.0,10560.0,7598.0,10320.0,5456.0,9360.0,8910.0,7920.0,7424.0,8280.0,7743.0,2610.0,9362.0,9900.0,7598.0,11008.0,5104.0,9360.0,9504.0,7200.0,7888.0,8280.0,8544.0,2610.0,8758.0,9900.0,8122.0,10320.0,5104.0,9984.0,8910.0,7820.0,3360.0,3168.0,2610.0,1421.0,1508.0,9570.0,8384.0,10320.0,5104.0,9984.0,8910.0,7590.0,3360.0
5,Wallis Annenberg Hall,ANN,21971.81667263031,28614.34896551724,19366.672758620694,24286.32413793103,19207.400000000005,24026.739999999998,36957.030000000006,38112.43,28978.330000000005,27211.230000000003,32205.93,21091.02,21441.859999999993,16349.92,23591.49,25095.868275862063,29049.260000000002,31917.72000000001,31917.72000000001,43187.15,50122.759321289064,39960.624084472656,29365.49884033203,21896.990629882814,22669.53,27946.88000000001,21503.810000000005,20306.799999999996,22854.532258064515,25093.301333333333,30215.119354838713,41056.974516129034,71187.46666666666,33856.993548387094,29093.55066666666,18302.641935483876,20630.575483870965,18875.312857142857,16604.707741935486,20364.18666666667,22280.494193548388,32678.592,37636.170967741935,36833.20870967741,50181.18399999999,29320.490322580645,32394.802,15132.493548387098
6,Annenberg School for Comm.,ASC,10492.571709384916,11698.815172413795,12543.711724137931,19309.779310344824,19156.450000000004,30264.959999999995,40543.42,42574.56000000001,34623.01,32609.750000000004,42019.95,35115.189999999995,29136.219999999994,26012.139999999996,25168.269999999997,19953.43862068965,31411.430000000004,36388.80000000001,36388.80000000001,53601.76000000002,53911.57090332031,40104.33706665039,18357.16766357422,12736.805310668944,22825.63,14498.619999999999,9696.849999999999,4023.379999999999,6116.196774193549,21445.045666666665,23883.1935483871,26059.886451612903,26177.770666666664,15181.441935483872,7771.810666666665,2833.848387096774,4793.145806451614,4997.383571428571,5010.89129032258,7897.396000000001,10122.46870967742,22631.946666666667,26810.409677419364,34788.13806451612,36437.813333333324,21009.774193548383,21623.943000000003,11332.548387096773
7,BIEGLER HALL OF ENGINEERING,BHE,2711.2597767925263,3530.780689655172,3117.6379310344832,4924.603448275862,5677.5199999999995,7485.240000000001,17318.77,24281.660000000003,16269.779999999993,12657.130000000001,10194.86,5049.96,7568.6,5160.25,8596.560000000001,5088.756896551724,11210.329999999998,13842.680000000002,13842.680000000002,15277.679999999998,15056.82,12839.93,7619.799999999999,7196.0,7136.7,9356.0,7643.0,10670.0,14582.903225806453,17628.666666666664,16246.451612903224,22214.0,23705.6,16436.129032258064,10887.933333333334,6024.193548387097,6833.548387096775,7174.392857142857,5942.193548387097,8687.433333333332,9696.290322580646,16918.4,19886.129032258064,21282.25806451613,22777.6,14091.290322580644,14844.5,6539.032258064516
8,Bing Theatre,BIT,5649.8487494254105,6299.372413793104,6754.312068965517,10397.575862068967,10315.040000000003,16296.5,21831.079999999998,22924.749999999993,18643.15,17559.100000000002,22626.129999999997,18908.16,15688.750000000004,14006.53,13552.150000000001,10744.161724137932,16913.85,19593.99,19593.99,28862.47,29029.296752929688,21594.643356323242,9884.628971099854,6858.294398345948,12290.76,7806.96,5221.39,2119.71,3293.3322580645163,11547.334666666666,12860.177419354839,14032.239354838706,14095.744000000002,8174.612903225807,4184.844666666668,1525.9451612903226,2580.9135483870964,2690.889285714285,2698.188064516129,4252.424666666667,5450.578064516129,12186.453333333335,14436.358064516124,18732.063548387094,19620.320000000003,11312.951612903225,11643.653999999995,3689.4967741935484
9,University Bookstore,BKS,28628.363156967163,18246.132413793104,21026.06,21225.78620689655,24998.630000000005,25553.979999999996,29717.29,30908.27,25470.33,21879.07,20943.21,18076.539999999997,14978.739999999998,11883.939999999997,17228.100000000002,21933.3124137931,19176.680000000004,19209.269999999997,19209.269999999997,23264.960000000003,29447.05134277343,23661.217529296875,19323.21075439453,23268.460247802734,17571.1,18635.18,12994.34,10617.720000000001,12283.46129032258,18337.440333333336,21238.877419354838,24821.1935483871,27864.693333333336,22493.699999999997,14043.677333333333,8566.354838709678,9819.974193548387,10885.160357142859,8485.240967741936,12023.670666666669,13780.379032258066,21634.165333333334,22537.519354838714,22498.995161290324,25598.88,15216.45483870968,16023.941999999994,5635.567741935483
10,Booth Music Hall,BMH,4444.056401872635,2365.584827586207,4766.9875862068975,5053.448275862069,4940.499999999998,5525.830000000001,9554.560000000001,8741.38,7470.36,6612.719999999999,5581.990000000002,3149.4399999999996,4035.8200000000006,3715.13,4725.67,5221.896551724138,5346.719999999999,3638.2500000000005,3638.2500000000005,5442.759999999998,7179.3267431640625,5578.181854248047,3911.2958602905273,3351.5701153564455,3264.0099999999998,4025.4000000000005,3223.1700000000005,2384.79,4699.122580645162,4568.563,5402.583870967742,5943.718387096775,7107.936,5348.564516129033,4717.8966666666665,1903.5290322580643,2750.007741935483,2833.7867857142855,3080.7167741935486,4932.281333333333,4377.456451612905,6543.754666666664,6699.445161290321,5900.564516129031,6851.039999999999,4724.061290322581,5024.899,2868.658064516129
