,Bldg #,Building,Code,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00
1,0010,Administration Bldg,ADM,32748.7079417406,31867.328909298754,34117.9900175818,32974.992782174915,36819.883132391005,34095.116960087566,34245.0,35830.30554890707,36187.845437587406,35567.785522904676,34129.48708364023,32911.11553583572,36536.032957645024,36505.08781720665,36573.03294822714,37500.08555652233,34697.94081400931,32465.943653644947,34738.986985128504,31807.943759340986,34754.8961565699,39317.85098791451,38197.9404124353,40253.909284879715,35332.97911993535,37244.0,32334.0,27928.0,34819.0,30400.0,21022.0,16316.999999999998,17074.0,16682.269335886253,17753.0,15490.0,17001.0,14306.0,16124.0,14864.0,14969.0,15771.0,15239.0,16290.0,21750.01,20885.0,21422.0,20276.0
2,0011,Bovard Auditorium,ADM1,27775.986979425517,28861.014619890553,29833.979754949527,29826.00811423151,29521.849422425454,26150.148306109695,25925.999999999996,28580.870272235068,29784.892927035857,31736.827984514042,32067.983299430212,29701.703934020923,29387.016954533436,30100.06043806599,31129.005099600283,33450.99233416068,28216.97643947999,26611.94087129561,27791.000032674972,26091.966155705893,29790.953731839985,30761.016103689453,30544.94328967927,30617.937286362878,26295.015459370356,31288.999999999996,24836.999999999996,20977.0,21710.0,23485.0,23254.000000000004,22185.0,24040.0,23108.71872093267,24853.0,21719.0,23864.0,21389.0,22044.0,20755.0,20476.0,21490.0,20619.0,21432.0,25475.0,24925.0,25939.0,24963.0
3,0019,Administration Bldg - Cell Site,ADM9,4498.340778229005,4121.667820421871,4011.0057333779696,4128.989804448887,4591.148953925883,4134.867249508162,4358.0,4559.543672981812,4405.961172615,4404.952963234099,4861.872832373214,5403.344604003036,4366.9740194135575,4206.030507068244,4282.9744549593015,4682.91188371363,4491.043669302309,4357.995779041775,4840.019091750394,4435.009978465513,4636.032137452032,4898.198038413302,4606.022807249115,4972.998078446881,5703.097340242434,6883.0,6192.0,2500.0,4560.0,4669.0,3703.0,5999.0,6681.0,6315.685245275013,7297.0,6595.0,6654.0,7308.0,7298.0,7308.0,7308.0,8064.0,7560.0,5996.0,6517.0,5714.0,6293.0,5714.0
4,0020,Music Practice Instructional Center,PIC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0030,Waite Phillips Hall  ,WPH,81533.2270219093,79607.34811210552,81878.30096131675,94040.65174338674,96183.90089364885,99819.2738016851,169182.0,180817.0,113413.88687784181,103831.0774047981,101375.46523000198,73493.30218268614,63412.76820415626,56908.28273946944,105076.85144038075,138137.40131330927,118924.98756569318,146289.13746368536,160438.93359605974,149475.26159557822,168330.17467083744,151908.6923539587,129682.48651129956,99745.68825642104,98890.16972937556,135533.0,99563.0,99118.0,118026.79999999999,106926.8,103191.0,107959.0,115419.0,102287.18150128289,87894.0,53285.0,63881.0,71417.0,76774.0,89524.0,100343.0,120935.0,118780.0,118466.0,147153.0,129175.0,121803.0,93462.0
6,0031,Social Sciences   ,SOS,37178.146198855866,36108.361681786584,37064.25173507948,42206.05146314167,43367.66290438574,44647.389334530606,52808.72393017398,54149.53,50476.128796763274,46427.65780095895,45649.93627779883,33863.766660501795,29351.949198436403,26518.54,33680.498430047206,39945.17,37882.33891046125,45924.10647149433,50382.77343785476,46870.3991203844,52555.66922714083,47849.285987456424,41080.88407026443,32527.660647471388,31932.0,40962.0,29570.0,30537.54,37689.2,11454.0,32155.0,9008.125,11211.0,10584.97541225729,11754.0,10297.0,10968.0,10394.0,9971.0,9833.0,9909.0,10691.0,9455.0,10553.0,14306.0,13544.0,12965.0,11868.0
7,0040,VonKleinsmid Center,VKC,78002.18959430125,77719.03696418971,74692.03646804536,77546.98785682487,76791.97894225868,61306.035633938074,60959.99999999999,67459.99412151164,75214.70527995171,74600.56485211772,77265.88338051456,67791.08782556825,68009.01770505703,72137.1097898301,72342.02137715711,79375.98050020862,69264.9895845618,64006.87744807558,66220.51969453199,57071.57720033073,55772.950227883135,58693.74919540241,50746.0,78267.0,67481.0,75507.0,60161.0,47346.0,51329.0,54006.0,53439.0,52570.0,62020.0,59282.50045602746,66540.0,41558.0,39688.0,43286.0,43383.0,44282.0,46109.0,51461.0,46444.0,50382.0,61406.0,61018.0,59600.0,49982.0
8,0050,YWCA Bldg,YWC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0060,Humanities & Social Science,HSS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0070,Law Center,LAW,135571.6133630324,139915.9933414669,143164.0626490386,142862.94169390202,147042.04207437902,131041.01678707536,131078.06459559605,137013.36402085575,137564.44568437227,136440.196695098,150107.506482535,139482.0836195132,132559.0848620252,130527.84105434349,131367.05167964764,137188.6346881066,126308.37208475033,119746.34487039002,130924.98622756967,117900.78215847112,130688.89383040062,140127.06704133246,132349.55743569336,140587.8855925295,127483.18645585274,143663.0,123219.00000000001,112529.0,109849.00000000001,111703.0,110064.0,99652.0,116140.0,107911.88870065371,128388.0,113561.0,120167.0,109762.0,104136.0,103039.0,114812.0,125948.0,116443.0,119829.0,141970.0,141248.0,165219.0,138851.0
