,Bldg No.,Bldg Name,Bldg Code,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00
0,1.0,Administration Bldg,ADM,2962.352707211705,3200.967687317101,3342.775682837194,2737.2337367485275,2942.061434876272,2300.209344930848,1898.3714610723669,1942.265927924593,2563.800804248424,3304.090755411588,3595.5241593791,3806.7571509903973,4845.33612366749,5082.80163893142,4377.135775727191,4020.9845084839944,4313.66463770957,3240.6652359951904,2835.8569051752274,2780.4588407196784,2709.055012398648,3532.966752210292,4512.071216655641,5589.980588736184,5941.294585295505,5180.325132842062,5080.284253645548,4051.4658221544696,3573.6843315491383,3190.667073212891,3048.680069862381,2897.395993117713,2889.8392232234573,3117.745951152671,4029.321846521764,4592.513534741824,4801.10751723839,4170.149760948861,4226.058851102668,3394.5571747325066,3313.8385371488002,3313.8385371488002,2659.81236723647,2702.1508565099807,2927.3123304653136,3448.7205397604894,3796.1088678122746,4953.105882612774
1,2.0,Music Practice & Instructional Ctr ,PIC,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0,Waite Phillips Hall,WPH,2901.7769752766376,3339.6470333029556,3652.430280495511,3095.5184847834803,3253.8349283659827,2431.858479227955,1837.7455804377835,2004.7710833894175,1740.9789085191742,1881.8421644367545,2317.285072365674,3513.967635224907,3446.8125581610384,2810.312958782355,2823.1658168563445,2307.5959593278717,2341.9736248531613,1765.09544201602,1460.2566129067902,1572.5808448675457,1629.8740100386158,1907.0448745077383,2288.0483894798335,2692.5145484149425,2503.379542285032,2263.2129259612007,2363.458879416304,1920.616435215475,1666.2209967949157,1496.6094939580487,1377.4189623030807,1198.6410494390059,1147.887644106749,1153.322374527421,1494.1838107098476,1539.3178400351655,1497.4231502464145,1209.0907734499024,2337.8953221105457,2021.8199376634482,2173.3182926698573,1701.9633162974521,1652.4670711394183,1760.5375989828335,1962.1618070135862,2550.496927175294,2948.8075250441048,4048.867003142526
3,3.1,Social Sciences,SOS,1125.2791104660114,1295.0805919698,1416.3747014648814,1200.410064821116,1261.8035448592148,943.0495760357246,712.6587362285914,777.4294994498534,675.1336212983001,729.7589356028803,898.6191933924284,1362.6803191500508,1336.638274559597,1089.8103104868114,1094.794515966306,894.8618555290168,908.1931588000092,684.4857636552318,566.2724173580609,609.8305932280473,632.0482903456343,739.53228600563,887.2815100380351,1044.1293048265075,970.7847048558085,877.6505740514423,916.5249183904045,744.7951969360544,646.1432760298286,580.3696887889009,534.1488328859807,464.82060660509035,445.1389607405049,447.24649300969776,579.4290339036137,596.9315438496438,580.6852162853965,468.87290154015375,906.6116351606937,784.040868874658,842.7903646529901,660.0037780044753,640.8096458580756,682.7182792490471,760.906062595019,989.0563395846438,1143.5170714319875,1570.1087638746103
4,4.0,VonKleinsmid Center ,VKC,3660.4361096073026,4212.7857165451605,4607.345016677008,3904.8306386737772,4104.538345975698,3067.65911600497,2318.217540569047,2528.9112594311578,2196.1515709527453,2373.843017563114,2923.1309047562613,4432.681811717244,4347.969281732197,3545.059155569175,3561.2723470744263,2910.9086080271136,2954.2741903323413,2226.5732852342135,1842.0354426677782,1983.726440341319,2055.9986971042244,2405.6348853702525,2886.2503964772723,3396.462775269442,3157.879103289371,2854.9217905103123,2981.37668728407,2422.754681723172,2101.848472580334,1887.8926534810244,1737.5401867992791,1512.0214328001023,1447.9987325214163,1454.8543536278291,1884.8327840879474,1941.7669427507503,1888.919037274169,1525.2031995005807,2949.1296300328518,2550.4174752236877,2741.5245292586374,2146.935492727957,2084.4986326211697,2220.8238105630912,2475.1619412791442,3217.315158683028,3719.762627148199,5107.428691995703
5,5.0,YWCA Bldg,YWC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,Humanities & Social Science Annex,HSS,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,Law Center,LAW,5630.718291139677,6480.377987897085,7087.314484442029,6006.661677081386,6313.864919185543,4718.8705876152135,3566.031346446131,3890.1339782367463,3378.2616197624043,3651.59803341597,4496.547995908753,6818.636306895166,6688.32604391213,5453.238038507111,5478.178212637391,4477.746872848056,4544.45460115701,3425.058257628285,2833.5374117675156,3051.4956190413004,3162.6694535001934,3700.502329573827,4439.81602563669,5224.657527470514,4857.652775698033,4391.624348641953,4586.145405408755,3726.837101600571,3233.198527546967,2904.077923328171,2672.7960872538088,2325.888632755327,2227.404796755243,2237.9505541472886,2899.3710353934584,2986.950820690595,2905.656772903668,2346.165674246398,4536.540907566736,3923.2162228136604,4217.189386802542,3302.5542822811854,3206.509887646927,3416.2140458388317,3807.4533194866895,4949.081139487766,5721.97815675798,7856.575363037016
8,8.0,Bridge Hall,BRI,1771.5100892610674,2038.8260243545976,2229.7775285102975,1889.7876280672056,1986.4384663266126,1484.6288561500126,1121.9279996286077,1223.8956443386276,1062.8527719082936,1148.8485879859118,1414.6827686502336,2145.2472647538048,2104.2496630851224,1715.6720874420214,1723.5186476525084,1408.7676477954262,1429.7549193335801,1077.5757098775673,891.4742051904097,960.0471905998102,995.0241791868036,1164.2346274878666,1396.83402315736,1643.7571628138487,1528.2918550226982,1381.6721845427508,1442.8714839604402,1172.5199495252302,1017.2137045368299,913.6673289572258,840.9025261587485,731.7601354532908,700.7756144592615,704.0934710191086,912.1864700269388,939.7404099058583,914.1640591802276,738.1396028186393,1427.2651502999292,1234.3038244345178,1326.7922777811857,1039.0340856866594,1008.817050254556,1074.79318558733,1197.8830445974972,1557.0566165546345,1800.2218386913005,2471.798765809496
9,10.0,Ele. Microscopy Center,CEM,427.35999838330616,491.8474310442486,537.9126693976518,455.893332231863,479.2094297989473,358.1526232394927,270.6544834342226,295.2532101039648,256.4031453379334,277.1488199139284,341.2787933798542,517.5205454118474,507.63026305384176,413.88961031621466,415.7825185074782,339.85182660485725,344.91480670583803,259.95491441048256,215.05969240505274,231.6022744153667,240.0401409997029,280.8605559387702,336.9729529044211,396.5408171825266,368.68590737981873,333.3153032161091,348.0790534531244,282.85931125716064,245.39315342407423,220.41357291332756,202.85975473592734,176.53018867915688,169.05546701531404,169.8558684257535,220.05632974892802,226.70345627306799,220.5334043659317,178.0691746434304,344.3141735530008,297.76408478422593,320.0760464898426,250.65711331312232,243.36754025808057,259.2836568300794,288.9779172616011,375.6251331377212,434.2864354747283,596.2979962484033
