,ROOM TYPE>,ADMIT,AIRLOCK,ALCOVE,ANIMAL,ANTE.RM,ARCHIVE,ARMORY,AUDI,AUDI.S,AV.RM,BALANCE,BAR,BED.RM,BOOK.ST,CAGE.ST,CAGE.WA,CALLCTR,CASHIER,CHAPEL,CLASS,CLASS.S,CLEAN,CLINIC,COLD.RM,COMMON,COMPLAB,COMPTR,CONDO,CONF,CONSULT,CONTROL,COPY.RM,COURT,DANCE,DARK.RM,DECK,DET.RM,DINE.S,DINING,DRAFT,DRESS,DUBBING,EDTG.RM,ELV.LOB,EM.RM,EMP.SP,EQUIP,EXAM,EXHIBIT,FIELD,FILE.RM,FOYER,FREEZER,GAME,GARAGE,GIFT,GRN.RM,GYM,INCNTR,INFO,INST.RM,INTVIEW,JC,KIOSK,KIT.S,KITCHEN,LAB,LAB.OFF,LAB.S,LAUNDRY,LIB.S,LIBRARY,LIV.RM,LOAD.DK,LOBBY,LOCKER,LOUNGE,MAIL.RM,MORGUE,MUSEUM,OBSERV,OFFICE,OM*BOIL,OM*CHIL,OM*COM,OM*CORR,OM*ELEC,OM*ELEV,OM*EQ,OM*FAN,OM*FURN,OM*JC,OM*LOB,OM*MACH,OM*MECH,OM*RR,OM*STAI,OM*STO,OM*TELE,OM*VEST,ON.CALL,OR,PANTRY,PATIENT,PHARM,POOL,PORCH,PRACT,PREP.RM,PRIV.RM,PRNT.RM,PROC.RM,PROJECT,QUAR.RM,READ,REC.RM,RECEIVE,RECEP,RECORDS,RECOVER,RESI,RETAIL,RR,SAUNA,SCREEN,SCRUB,SEATS,SEMI,SHOP,SHOWER,SNACK,SOUND,STACK,STAGE,STATION,STERILE,STO,STOCK,STUDIO,STUDY,SUITE,SUPPLY,SURGERY,TAPING,TELE,TEST.RM,THEATER,THERAPY,TICKET,TOOL.RM,TRAIN,TRASH,TRASH.R,TREAT,TUTOR,UTILITY,VAULT,VENDING,VEST,VIDEO,VIVARIA,WAIT.RM,WARM.RM,WEIGHT,WORK.RM,XRAY,Grand Total
0,BUILDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SUN,,,,,,,,,,,,,1226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.0,,,,,,,2197.0,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,357.0,,462.0,,,,,,,,,,,,,,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5022.0
2,ABA,,,,,,,,,,,,,,,,,,,,2344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,,,,,,,,,,,264.0,,,,,105.0,,,,,,,,,,12.0,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3338.0
3,ABM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677.0,,,,,,,,,666.0,,,,,,,2794.0,,,,,37.0,,5.0,,,14.0,,,14.0,350.0,,,46.0,,,,86.0,,,,,,,,,,,,,,,376.0,,,,,,,,,,,,,,,,,,,772.0,,142.0,,,,,,,,,,,,,,,,,,,,78.0,,,518.0,,,242.0,,8084.0
4,ABP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0
5,ABX,,,,,,,,,,,,,433.0,,,,,,,2409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,,,,,144.0,,,,,,,10.0,,,78.0,,,,195.0,,,11.0,,,,,,,,,,525.0,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4082.0
6,ACB,,,,,,,,,,,,,,,,,,,,741.0,,1284.0,,296.0,,,311.0,,1049.0,,90.0,,,,,,,,,,,,,,,,416.0,,,,,,,,,,,,,,458.0,,,,,446.0,8908.0,,,,,215.0,,,,,,,,,,8760.0,,,,,,,,,,111.0,,,,,,,31.0,,,,117.0,,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,,,,,173.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,538.0,,24319.0
7,ACC,,,,,,,,,,,,,,,,,,,,4271.0,,,,,,773.0,132.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,305.0,,,,,,,,,,,153.0,,,,18826.0,,,,,39.0,,157.0,,,348.0,,,294.0,1196.0,,,113.0,186.0,,,35.0,,,,,,,,,,,,,,,196.0,,,,,46.0,,,,,898.0,,,,,1818.0,,,,468.0,,,940.0,,,,,,,,,,,,,,,,,66.0,,567.0,,,113.0,,,445.0,,32592.0
8,ACX,,,,,,,,,,,,,,,372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,,,,,,,,,594.0,,136.0,2266.0,,120.0,,,634.0,661.0,,741.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4284.0,,,,,,,,,,,,,,,,,,,,,,117.0,,,,,,154.0,,10420.0
9,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4378.0,,136.0,,,,,,,,,,393.0,,,,,,172.0,,,,,,,,,,,,,,,,,,,964.0,,,,,,,,,1380.0,,76.0,,,,,24432.0,,,,10031.0,248.0,277.0,133.0,,,256.0,129.0,,2341.0,2168.0,6891.0,,222.0,114.0,,,507.0,,,,,,,,,,,,,,,2605.0,,,,,467.0,,,,10691.0,,,,,127.0,,2476.0,,,3371.0,,,,,,,,,,,,,,,,,,,,246.0,,343.0,,,708.0,,,2830.0,,79112.0
