,Bldg #,Code,Building,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00
1,1.0,ADM,Administration Bldg,169.60011683600192,307.1740341190963,162.99481285569863,153.15844703550061,240.80658556051603,211.08586153748334,200.93630181993035,293.018474945329,279.95392243167026,258.2825482743146,251.72471167596836,135.08703525844768,179.7886264696278,164.01407127707546,182.8613955477737,294.5011080899145,199.94393126470263,210.90193372972598,258.1426036524454,240.81538055462352,298.7543105477249,273.6035648849545,255.2687416930116,177.54341126663223,184.66615293644503,235.89271929971852,168.33005806556415,123.91499200526552,201.46946599727298,146.75110920541854,195.33295912648592,230.9325020361075,222.04238675535498,194.44032020256296,140.1784696464118,145.84123146184731,105.40569592147956,118.87140003390957,130.93465792294842,151.01519055733144,73.7802184413064,70.57268957304532,85.35111571430494,98.68751542909435,90.00910246700519,78.94512556449546,66.82006197404226,67.19643521842093
2,2.0,PIC,Music Practice & Instructional Center,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,WPH,Waite Phillips Hall,248.54656122239285,546.3454556466403,240.29857010010258,257.67372252504913,403.04211770537336,341.33672376658046,324.3391065049473,513.5257193265546,489.60175236206413,446.37356768977486,433.5691531609753,179.3678318332855,273.90196073766026,243.16331532698672,283.88042564153096,518.8868597487216,319.5017540583016,343.5594165511696,448.3553717283277,406.5077900499328,531.8964164904976,480.6830289132737,441.67981511191437,274.5453820105869,286.1613115539164,395.93308112886757,257.43385045913294,163.91541001891264,324.155483869873,212.26731735572668,316.2630550355426,386.97580656030925,372.39456743687873,315.8976194252194,200.42888991866593,205.71697616007725,117.43555195269829,148.90218395821063,174.53267877788468,215.32072211152465,282.350213112421,318.08762200065644,54.215323335560846,64.36428365972601,55.86168359899386,53.44424520605164,45.41660254489886,42.61651009270841
4,3.1,SOS,Social Sciences,87.76867506713405,181.63264942105263,84.84386517146157,87.03156174655727,136.57513613584402,116.64495728331687,111.44106558823597,171.83007035187742,163.9234788218973,150.48453443750097,146.30750146155762,65.62508255523832,95.50703964656559,85.45740560364067,98.54474060326129,172.91904809279092,109.83020322002764,117.14328725007803,150.53806161187683,137.5873843024006,177.13305798215123,161.2029719804498,148.8268675074355,95.38644985338163,99.240235854164,133.87530800025627,89.79993164359121,59.81543390474425,111.1903569680946,75.13335503141553,108.55873256392965,131.27491459877277,126.29030142134852,108.67914514360491,72.08186263285663,73.6911832683438,45.7875218187586,55.448812007383715,63.80687615167999,76.59740177888615,98.58551240862444,109.55849376575078,107.18324108572274,104.1684421457156,116.49181338172193,53.67341454021599,128.4955013987974,20.966499434223515
5,4.0,VKC,VonKleinsmid Center,156.3160379665139,270.1086364952684,150.03587929560717,135.99121713134002,216.7689058313592,187.63469188003668,183.84660188007146,263.40207345931503,249.83701556106226,236.15712828445822,230.51514575730312,127.77190269591695,164.52376757021963,148.74598768830452,166.7053225232881,259.3305797551122,181.77723845673933,187.2642575253289,231.95050791263986,218.65946787130838,265.47180928480844,248.82083184029258,233.41392766166203,163.1042909694179,168.4393092013434,209.62962839742576,153.8978364170276,114.13644929199474,182.90200923597078,132.50329762443116,178.5902813913457,210.08656283380478,200.08922544210466,181.2428028340939,135.45308455587363,136.44298696840198,101.351752330899,110.35172326489254,122.61849441683947,137.66285301544966,170.34222021058852,180.08697866851386,189.4967578120288,194.59766708441924,203.3069458803098,120.14580526526049,73.22704684201513,69.35273076190973
6,5.0,YWC,YWCA Bldg,24.39025473381229,47.39565843626313,23.53856040628808,22.895145945739486,36.0897319201105,31.38850887487853,29.82011969240604,44.3761752144516,42.71676102285283,39.564681499565175,38.139818930493426,18.763254188932937,26.188989994258595,23.820771231558496,26.857672773025232,44.841835465410405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.0,HSS,Humanities & Social Science,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7.0,LAW,Law Center,148.6593555636154,194.68299553666523,141.15577842329316,107.08589532201132,175.4721189248151,154.53002257700956,157.7731632020587,201.4264661397465,188.58069801578745,187.96285618954968,184.76050598686584,134.24494298541114,150.01060656176838,137.07127006441613,148.06051461122055,189.9488355162428,156.8321737643101,152.73680225096018,178.5978146031785,177.67488685232453,194.31865059445897,192.56083367963564,185.67617971022955,147.37763903365234,150.5695068638233,165.62475318417586,139.09619838618963,117.01017443490979,156.3996702108565,123.90992078114029,152.63683618779447,172.6093694587217,161.28769616034094,158.3532001997858,137.34259732433722,135.8934925357969,119.31844814329465,117.98954596871546,126.72320388781712,131.99685808160496,155.90387787286434,153.20425871305412,130.5657706377287,152.68164815140727,135.3366874179387,126.88514762320706,107.57587001723954,101.67945853743458
9,8.0,BRI,Bridge Hall,81.12932346055132,144.52485328877017,77.93346152330132,72.1133681160215,114.65415697954829,98.97761734399198,96.5966566401153,140.19545353377364,133.07912498485808,125.17757252624634,122.11951330884084,65.43878473345188,85.84226997342026,77.47878521147054,87.21382291864886,138.52839712266038,95.46581337683878,98.88862001538425,123.31303776128749,115.65270114777906,141.83538942595433,132.27201461998612,123.75285812109325,85.21249237072223,88.09662366138913,111.13820156250456,80.34269507905586,58.601157605216535,96.1550802385901,68.83857844217292,93.87895879888379,110.98601814752588,105.85594245489342,95.08738578562397,69.76235669925629,70.40167353773731,50.99276440309321,56.328553377481136,62.88726166370919,71.3275602217625,88.83248161427397,94.6465125166738,98.45090075977704,100.2915630332919,105.84201056486651,60.38480724652329,109.13293145824353,33.012001645193095
10,10.0,CEM,Ele. Microscopy Center,71.90814791781682,160.12110930494097,69.87393389358934,75.44634438668751,117.24167690174407,100.3357461672152,94.1189096439552,149.00348506445147,142.91933133298662,129.01158975948982,125.1872821245747,51.3635744568051,79.3831187319118,71.16248850597421,82.67104746833247,151.99959773730748,92.75706045104845,100.98335558446735,130.5390776940389,117.65567125202631,155.34752875846874,139.11625964662736,127.57978876122927,79.35459537840273,82.99822369563526,115.98862070414683,74.93720124626144,47.8598127748166,94.13622357448934,62.452987983702364,91.78856369857014,111.94619501235638,108.56675795762165,90.81642027527748,56.83558191639609,59.137839804752105,33.48097760219738,43.507113920027656,50.589536018374886,62.928699519370134,81.79227565334254,93.5205804939492,87.89427909763882,82.8771612097142,96.34661255197985,38.1032346518638,108.99790852736267,10.668375274138494
